transaction_id,product_id,product_name,department,date,day_of_week,is_weekend,month,peak_hour,festival_flag,discount_pct,current_price,inventory_level,inventory_ratio,units_sold,revenue,profit,store_id,aisle,base_price,cost_price,gross_margin_pct,shelf_life_days,is_perishable,created_date,avg_price_elasticity,profit_margin,inventory_risk,high_demand
1,33627,Mix Popcorn,snacks,2024-01-01,0,0,1,19,0,0.0,5.31,63,0.63,56,297.36,122.08,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
2,33627,Mix Popcorn,snacks,2024-01-02,1,0,1,20,0,0.0,5.31,75,0.75,60,318.6,130.8,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
3,33627,Mix Popcorn,snacks,2024-01-03,2,0,1,8,0,0.0,5.31,44,0.44,44,233.64,95.92,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
4,33627,Mix Popcorn,snacks,2024-01-04,3,0,1,18,0,0.0,5.31,52,0.52,52,276.12,113.36,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
5,33627,Mix Popcorn,snacks,2024-01-05,4,0,1,9,0,0.0,5.31,35,0.35,35,185.85,76.3,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
6,33627,Mix Popcorn,snacks,2024-01-06,5,1,1,19,0,0.0,5.31,42,0.42,42,223.02,91.56,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
7,33627,Mix Popcorn,snacks,2024-01-07,6,1,1,18,0,0.0,5.31,77,0.77,72,382.32,156.96,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
8,33627,Mix Popcorn,snacks,2024-01-08,0,0,1,19,0,0.0,5.31,0,0.0,0,0.0,0.0,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,1,0
9,33627,Mix Popcorn,snacks,2024-01-09,1,0,1,19,0,0.0,5.31,8,0.08,8,42.48,17.44,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,1,0
10,33627,Mix Popcorn,snacks,2024-01-10,2,0,1,19,0,0.0,5.31,24,0.24,24,127.44,52.32,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
11,33627,Mix Popcorn,snacks,2024-01-11,3,0,1,17,0,0.0,5.31,70,0.7,49,260.19,106.82,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
12,33627,Mix Popcorn,snacks,2024-01-12,4,0,1,9,0,0.0,5.31,46,0.46,40,212.4,87.2,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
13,33627,Mix Popcorn,snacks,2024-01-13,5,1,1,10,0,0.0,5.31,49,0.49,49,260.19,106.82,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
14,33627,Mix Popcorn,snacks,2024-01-14,6,1,1,17,0,0.0,5.31,38,0.38,38,201.78,82.84,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
15,33627,Mix Popcorn,snacks,2024-01-15,0,0,1,19,0,0.0,5.31,49,0.49,46,244.26,100.28,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
16,33627,Mix Popcorn,snacks,2024-01-16,1,0,1,10,0,0.0,5.31,47,0.47,47,249.57,102.46,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
17,33627,Mix Popcorn,snacks,2024-01-17,2,0,1,19,0,0.0,5.31,30,0.3,30,159.3,65.4,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
18,33627,Mix Popcorn,snacks,2024-01-18,3,0,1,20,0,0.0,5.31,44,0.44,44,233.64,95.92,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
19,33627,Mix Popcorn,snacks,2024-01-19,4,0,1,19,0,0.0,5.31,66,0.66,60,318.6,130.8,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
20,33627,Mix Popcorn,snacks,2024-01-20,5,1,1,10,0,0.0,5.31,54,0.54,54,286.74,117.72,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
21,33627,Mix Popcorn,snacks,2024-01-21,6,1,1,19,0,0.0,5.31,41,0.41,41,217.71,89.38,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
22,33627,Mix Popcorn,snacks,2024-01-22,0,0,1,18,0,20.0,4.25,47,0.47,47,199.75,52.64,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,1.12,0,0
23,33627,Mix Popcorn,snacks,2024-01-23,1,0,1,17,0,0.0,5.31,16,0.16,16,84.96,34.88,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,1,0
24,33627,Mix Popcorn,snacks,2024-01-24,2,0,1,17,0,0.0,5.31,53,0.53,53,281.43,115.54,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
25,33627,Mix Popcorn,snacks,2024-01-25,3,0,1,17,0,0.0,5.31,5,0.05,5,26.55,10.9,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,1,0
26,33627,Mix Popcorn,snacks,2024-01-26,4,0,1,8,0,0.0,5.31,32,0.32,32,169.92,69.76,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
27,33627,Mix Popcorn,snacks,2024-01-27,5,1,1,8,0,0.0,5.31,31,0.31,31,164.61,67.58,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
28,33627,Mix Popcorn,snacks,2024-01-28,6,1,1,18,0,0.0,5.31,69,0.69,56,297.36,122.08,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
29,33627,Mix Popcorn,snacks,2024-01-29,0,0,1,18,0,20.0,4.25,68,0.68,68,289.0,76.16,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,1.12,0,0
30,33627,Mix Popcorn,snacks,2024-01-30,1,0,1,19,0,0.0,5.31,50,0.5,50,265.5,109.0,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
31,33627,Mix Popcorn,snacks,2024-01-31,2,0,1,9,0,0.0,5.31,42,0.42,42,223.02,91.56,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
32,33627,Mix Popcorn,snacks,2024-02-01,3,0,2,20,0,0.0,5.31,60,0.6,45,238.95,98.1,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
33,33627,Mix Popcorn,snacks,2024-02-02,4,0,2,20,0,0.0,5.31,31,0.31,31,164.61,67.58,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
34,33627,Mix Popcorn,snacks,2024-02-03,5,1,2,19,0,0.0,5.31,61,0.61,55,292.05,119.9,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
35,33627,Mix Popcorn,snacks,2024-02-04,6,1,2,9,0,0.0,5.31,81,0.81,62,329.22,135.16,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
36,33627,Mix Popcorn,snacks,2024-02-05,0,0,2,9,0,0.0,5.31,56,0.56,52,276.12,113.36,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
37,33627,Mix Popcorn,snacks,2024-02-06,1,0,2,17,0,0.0,5.31,42,0.42,41,217.71,89.38,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
38,33627,Mix Popcorn,snacks,2024-02-07,2,0,2,9,0,0.0,5.31,36,0.36,36,191.16,78.48,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
39,33627,Mix Popcorn,snacks,2024-02-08,3,0,2,20,0,0.0,5.31,38,0.38,38,201.78,82.84,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
40,33627,Mix Popcorn,snacks,2024-02-09,4,0,2,19,0,0.0,5.31,59,0.59,56,297.36,122.08,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
41,33627,Mix Popcorn,snacks,2024-02-10,5,1,2,17,0,0.0,5.31,90,0.9,71,377.01,154.78,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
42,33627,Mix Popcorn,snacks,2024-02-11,6,1,2,17,0,0.0,5.31,35,0.35,35,185.85,76.3,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
43,33627,Mix Popcorn,snacks,2024-02-12,0,0,2,19,0,20.0,4.25,63,0.63,56,238.0,62.72,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,1.12,0,0
44,33627,Mix Popcorn,snacks,2024-02-13,1,0,2,10,0,0.0,5.31,49,0.49,49,260.19,106.82,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
45,33627,Mix Popcorn,snacks,2024-02-14,2,0,2,19,0,0.0,5.31,35,0.35,35,185.85,76.3,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
46,33627,Mix Popcorn,snacks,2024-02-15,3,0,2,19,0,0.0,5.31,64,0.64,41,217.71,89.38,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
47,33627,Mix Popcorn,snacks,2024-02-16,4,0,2,17,0,0.0,5.31,43,0.43,43,228.33,93.74,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
48,33627,Mix Popcorn,snacks,2024-02-17,5,1,2,19,0,5.0,5.04,80,0.8,63,317.52,120.33,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,1.9100000000000001,0,0
49,33627,Mix Popcorn,snacks,2024-02-18,6,1,2,9,0,0.0,5.31,26,0.26,26,138.06,56.68,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
50,33627,Mix Popcorn,snacks,2024-02-19,0,0,2,17,0,0.0,5.31,101,1.0,43,228.33,93.74,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
51,33627,Mix Popcorn,snacks,2024-02-20,1,0,2,9,0,0.0,5.31,60,0.6,60,318.6,130.8,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
52,33627,Mix Popcorn,snacks,2024-02-21,2,0,2,18,0,0.0,5.31,44,0.44,40,212.4,87.2,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
53,33627,Mix Popcorn,snacks,2024-02-22,3,0,2,9,0,0.0,5.31,57,0.57,45,238.95,98.1,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
54,33627,Mix Popcorn,snacks,2024-02-23,4,0,2,18,0,0.0,5.31,18,0.18,18,95.58,39.24,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,1,0
55,33627,Mix Popcorn,snacks,2024-02-24,5,1,2,17,0,0.0,5.31,47,0.47,47,249.57,102.46,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
56,33627,Mix Popcorn,snacks,2024-02-25,6,1,2,18,0,0.0,5.31,26,0.26,26,138.06,56.68,1,chips pretzels,5.31,3.13,41.1,120,0,2024-01-01,-4.04,2.1799999999999997,0,0
